주유소,시도,시군구,휘발유,경유,기준일(9/17)휘발유,내린폭,경유내린폭,연휴전(9/23),직전인상
강릉(강릉방향)주유소/충전소,강원,강릉시,1734,1723,1839,105,105,1839,
강릉(인천방향)주유소/충전소,강원,강릉시,1734,1723,1839,105,105,1839,
구정(삼척방향)주유소,강원,강릉시,1744,1731,1844,100,100,1844,
구정(속초)주유소,강원,강릉시,1744,1733,1844,100,100,1844,
옥계(속초) 주유소/충전소,강원,강릉시,1729,1719,1829,100,100,1829,
동해(삼척)주유소,강원,동해시,1745,1735,1845,100,100,1845,
원주(춘천)주유소,강원,원주시,1745,1735,1845,100,100,1845,
치악(부산방향)주유소/충전소,강원,원주시,1744,1731,1844,100,100,1844,
치악(춘천방향)주유소/충전소,강원,원주시,1744,1731,1844,100,100,1844,
원주(부산)주유소/충전소,강원,원주시,1764,1753,1864,100,100,1864,
문막(강릉)주유소/충전소,강원,원주시,1746,1736,1846,100,100,1846,
문막(인천방향)주유소,강원,원주시,1735,1725,1835,100,100,1835,
내린천(서울방향)주유소/충전소,강원,인제군,1738,1728,1838,100,100,1838,
내린천(양양방향)주유소/충전소,강원,인제군,1738,1728,1838,100,100,1838,
춘천(하)주유소/충전소,강원,춘천시,1734,1734,1834,100,100,1834,
강릉방향,강원,평창군,1739,1729,1839,100,100,1845,6
서창방향,강원,평창군,1739,1729,1839,100,100,1845,6
홍천강(춘천방향)주유소/충전소,강원,홍천군,1735,1725,1835,100,100,1840,5
홍천양양주유소/충전소,강원,홍천군,1738,1728,1838,100,100,1838,
키다리식품(주)홍천서울주유소/충전소,강원,홍천군,1738,1728,1838,100,100,1838,
횡성(인천)지점,강원,횡성군,1740,1730,1840,100,100,1840,
횡성(하)주유소/충전소,강원,횡성군,1738,1728,1838,100,100,1838,
구리(일산방향)주유소,경기,구리시,1764,1753,1864,100,100,1864,
구리(판교방향)주유소,경기,구리시,1764,1753,1864,100,100,1864,
성남(구리방향)주유소,경기,성남시,1764,1753,1864,100,100,1864,
안성맞춤(평택)주유소/충전소,경기,안성시,1744,1733,1844,100,100,1844,
YM21유통㈜안성맞춤(제천)주유소,경기,안성시,1733,1723,1833,100,100,1833,
고삼(세종)주유소,경기,안성시,1749,1744,1849,100,100,1849,
고삼(포천)주유소,경기,안성시,1749,1744,1849,100,100,1849,
안성(서울)주유소/충전소,경기,안성시,1764,1753,1864,100,100,1864,
한국도로공사 안성(부산방향)주유소/충전소,경기,안성시,1738,1735,1838,100,100,1838,
남한강(창원)주유소,경기,양평군,1739,1728,1839,100,100,1839,
남한강(포천)주유소,경기,양평군,1739,1728,1839,100,100,1839,
신창에너지㈜여주(강릉)주유소,경기,여주시,1729,1719,1829,100,100,1829,
여주(인천방향)주유소/충전소,경기,여주시,1738,1728,1838,100,100,1838,
서여주(양평)주유소,경기,여주시,1739,1728,1839,100,100,1839,
서여주(창원)주유소,경기,여주시,1739,1728,1839,100,100,1839,
처인(세종방향)주유소,경기,용인시,1749,1744,1849,100,100,1849,
처인(포천방향)주유소,경기,용인시,1749,1744,1849,100,100,1849,
기흥(부산)주유소/충전소,경기,용인시,1739,1736,1839,100,100,1839,
용인(강릉방향)주유소/충전소,경기,용인시,1734,1724,1834,100,100,1834,
용인(인천방향)주유소/충전소,경기,용인시,1734,1724,1834,100,100,1834,
죽전(서울)주유소,경기,용인시,1742,1736,1842,100,100,1842,
대보건설㈜이천(하남)주유소/충전소,경기,이천시,1764,1753,1864,100,100,1864,
이천(하)주유소/충전소,경기,이천시,1735,1717,1835,100,100,1835,
한국도로공사 하남드림주유소/충전소,경기,하남시,1748,1738,1848,100,100,1848,
화성(상)주유소/충전소,경기,화성시,1764,1753,1864,100,100,1864,
대보유통㈜화성(하)목포방향,경기,화성시,1764,1753,1864,100,100,1864,
매송주유소(목포방향),경기,화성시,1764,1753,1864,100,100,1864,
매송주유소(서울방향),경기,화성시,1764,1753,1864,100,100,1864,
대한민국재향군인회 거창(광주)주유소/충전소,경남,거창군,1743,1736,1843,100,100,1843,
대한민국재향군인회 거창(대구)주유소,경남,거창군,1743,1736,1843,100,100,1843,
안국산업㈜고성공룡나라(대전)주유소,경남,고성군,1740,1726,1840,100,100,1840,
안국산업㈜고성공룡나라(통영)주유소,경남,고성군,1740,1726,1840,100,100,1840,
진영(순천방향)주유소,경남,김해시,1748,1738,1848,100,100,1848,
김해금관가야(기장방향)주유소,경남,김해시,1738,1728,1838,100,100,1838,
김해금관가야(창원방향)주유소,경남,김해시,1738,1728,1838,100,100,1838,
장유(부산방향)주유소,경남,김해시,1742,1732,1842,100,100,1842,
밀양(울산방향)주유소,경남,밀양시,1742,1735,1842,100,100,1848,6
밀양(함양방향)주유소,경남,밀양시,1742,1735,1842,100,100,1848,6
YM21유통 사천(상)주유소/충전소,경남,사천시,1744,1733,1844,100,100,1844,
YM21유통 사천(하)주유소/충전소,경남,사천시,1744,1733,1844,100,100,1844,
산청(대전방향)주유소/충전소,경남,산청군,1744,1734,1844,100,100,1844,
산청(통영방향)주유소/충전소,경남,산청군,1739,1729,1839,100,100,1839,
통도사(부산)주유소,경남,양산시,1764,1753,1864,100,100,1864,
양산(서울방향)주유소,경남,양산시,1739,1730,1839,100,100,1839,
진주(부산)주유소/충전소,경남,진주시,1743,1733,1843,100,100,1843,
문산(순천)주유소,경남,진주시,1734,1729,1834,100,100,1834,
영산(하)주유소/충전소,경남,창녕군,1747,1736,1847,100,100,1847,
함안(부산방향)주유소/충전소,경남,함안군,1748,1735,1848,100,100,1848,
칠서(양평)주유소/충전소,경남,함안군,1739,1728,1839,100,100,1839,
대보건설(주)함안(순천)주유소/충전소,경남,함안군,1764,1753,1864,100,100,1864,
함양(통영)주유소,경남,함양군,1738,1728,1838,100,100,1868,30
평사주유소,경북,경산시,1745,1736,1845,100,100,1845,
경산(서울방향)주유소/충전,경북,경산시,1734,1723,1842,108,112,1842,
와촌(포항)주유소/충전소,경북,경산시,1764,1753,1864,100,100,1864,
건천(상)주유소,경북,경주시,1748,1738,1848,100,100,1848,
건천(부산)주유소,경북,경주시,1742,1731,1842,100,100,1842,
외동(상)주유소,경북,경주시,1738,1728,1838,100,100,1838,
외동(하)주유소,경북,경주시,1738,1728,1838,100,100,1838,
경주(부산)주유소/충전소,경북,경주시,1743,1733,1843,100,100,1843,
선산(양평방향)주유소,경북,구미시,1745,1733,1845,100,100,1845,
선산(창원방향)주유소,경북,구미시,1745,1733,1845,100,100,1845,
김천(부산방향)주유소,경북,김천시,1742,1738,1842,100,100,1842,
김천(서울방향)주유소,경북,김천시,1742,1738,1842,100,100,1842,
추풍령(서울)주유소충전소,경북,김천시,1724,1724,1824,100,100,1824,
추풍령(부산)주유소충전소,경북,김천시,1724,1724,1824,100,100,1824,
(주)서원문경(하)주유소/충전소,경북,문경시,1744,1733,1844,100,100,1844,
한국도로공사 문경(양평방향)주유소/충전소,경북,문경시,1734,1723,1834,100,100,1834,
안국산업㈜화서(영덕)주유소,경북,상주시,1740,1724,1840,100,100,1840,
남성주참외(양평방향)주유소,경북,성주군,1747,1738,1847,100,100,1847,
남성주참외(창원방향)주유소,경북,성주군,1747,1738,1847,100,100,1847,
성주(양평방향)주유소,경북,성주군,1735,1724,1835,100,100,1835,
성주(창원방향)주유소,경북,성주군,1735,1724,1835,100,100,1835,
안동(부산방향)주유소/충전소,경북,안동시,1749,1748,1849,100,100,1849,
영덕(상)주유소,경북,영덕군,1734,1734,1834,100,100,1834,
청통(대구)주유소/충전소,경북,영천시,1764,1753,1864,100,100,1864,
씨앤에스에너지(주)영천(포항방향)주유소,경북,영천시,1747,1737,1847,100,100,1847,
씨앤에스에너지㈜영천(대구방향)주유소/충전소,경북,영천시,1747,1737,1847,100,100,1847,
의성(영덕)주유소/충전소,경북,의성군,1849,1848,1849,0,0,1849,
의성(청주)주유소/충전소,경북,의성군,1749,1748,1849,100,100,1849,
청송(상주)주유소,경북,청송군,1748,1747,1848,100,100,1848,
청송(영덕)주유소,경북,청송군,1748,1747,1848,100,100,1848,
동명(부산)주유소/충전소,경북,칠곡군,1745,1735,1845,100,100,1845,
동명(춘천)주유소/충전소,경북,칠곡군,1745,1735,1845,100,100,1845,
㈜에스엔디유통(칠곡-서울)주유소/충전소,경북,칠곡군,1742,1738,1842,100,100,1842,
칠곡(부산)주유소/충전소,경북,칠곡군,1745,1735,1845,100,100,1845,
포항(하)주유소,경북,포항시,1734,1734,1834,100,100,,
군위(부산)주유소/충전소,대구,군위군,1746,1736,1846,100,100,1846,
군위(춘천)주유소/충전소,대구,군위군,1746,1736,1846,100,100,1846,
논공(광주)주유소,대구,달성군,1745,1736,1845,100,100,1845,
논공(대구)주유소,대구,달성군,1745,1736,1845,100,100,1845,
현풍(대구)주유소/충전소,대구,달성군,1745,1736,1845,100,100,1845,
현풍(하)주유소,대구,달성군,1745,1739,,,,1845,
신탄진(서울)주유소/충전소,대전,대덕구,1739,1728,1839,100,100,1839,
만남의광장주유소,서울,서초구,1764,1753,1864,100,100,1864,
울주(울산방향)주유소,울산,울주군,1734,1723,1842,108,112,1842,
울주(함양방향)주유소,울산,울주군,1734,1723,1842,108,112,1842,
언양(서울)주유소/충전소,울산,울주군,1878,1738,1978,100,100,1978,
곡성(순천)주유소,전남광주,곡성군,1729,1721,1829,100,100,1859,30
곡성(천안)주유소충전소,전남광주,곡성군,1740,1726,1840,100,100,1840,
YM21유통㈜섬진강(부산방향)주유소,전남광주,광양시,1739,1728,1839,100,100,1839,
대보건설(주)보성(목포)주유소/충전소,전남광주,보성군,1764,1753,1864,100,100,1864,
대보건설(주)보성녹차(광양)주유소/충전소,전남광주,보성군,1764,1753,1864,100,100,1864,
황전(순천)주유소,전남광주,순천시,1745,1735,1845,100,100,1852,7
황전(완주)주유소/충전소,전남광주,순천시,1734,1728,1834,100,100,1834,
주암(순천)주유소,전남광주,순천시,1739,1721,1839,100,100,1849,10
주암(천안)주유소,전남광주,순천시,1744,1728,1844,100,100,1848,4
백양사(순천)주유소/충전소,전남광주,장성군,1745,1735,1845,100,100,1845,
한국도로공사 백양사(논산)주유소/충전소,전남광주,장성군,1735,1725,1835,100,100,1835,
장흥 정남진주유소,전남광주,장흥군,1745,1735,1845,100,100,1859,14
대보디앤에스(주)함평나비(광주)주유소,전남광주,함평군,1764,1753,1864,100,100,1864,
대보디앤에스㈜함평나비(무안)주유소/충전소,전남광주,함평군,1764,1753,1864,100,100,1864,
함평천지(서울)주유소/충전소,전남광주,함평군,1734,1723,1834,100,100,1834,
태경산업(주)함평무안주유소,전남광주,함평군,1746,1738,1846,100,100,1846,
고창고인돌(목포)주유소,전북,고창군,1764,1753,1864,100,100,1864,
고창고인돌(서울)주유소,전북,고창군,1764,1753,1864,100,100,1864,
군산(서울)충전소주유소,전북,군산시,1736,1718,1836,100,100,1836,
군산무안주유소/충전소,전북,군산시,1746,1738,1846,100,100,1846,
김제(새만금방향)주유소,전북,김제시,1745,1723,1845,100,100,1844,
김제(전주방향)주유소,전북,김제시,1746,1737,1846,100,100,1844,
지리산(광주방향)주유소,전북,남원시,1734,1723,1839,105,105,1839,
지리산(대구방향)주유소,전북,남원시,1734,1723,1839,105,105,1839,
춘향(순천방향)주유소,전북,남원시,1736,1729,1855,119,116,1855,
춘향(완주방향)주유소,전북,남원시,1736,1729,1855,119,116,1855,
대보유통(주)부안(목포)주유소,전북,부안군,1764,1753,1864,100,100,1864,
대보유통(주)부안(서울)주유소,전북,부안군,1764,1753,1864,100,100,1864,
강천산휴게소(광주방향),전북,순창군,1739,1729,1839,100,100,1839,
강천산휴게소(대구방향),전북,순창군,1739,1729,1839,100,100,1839,
이서(천안방향)주유소/충전소,전북,완주군,1724,1719,1834,110,104,1834,
이서(순천방향)주유소/충전소,전북,완주군,1738,1728,1838,100,100,1838,
여산(하)주유소/충전소,전북,익산시,1739,1728,1839,100,100,1839,
우리유통여산(상)주유소/충전소,전북,익산시,1739,1728,1839,100,100,1839,
오수(순천방향)주유소,전북,임실군,1738,1732,1838,100,100,1838,
오수(완주방향)주유소,전북,임실군,1738,1732,1838,100,100,1838,
풀무원푸드앤컬처덕유산하(통영)주유소,전북,장수군,1739,1729,1839,100,100,1839,
정읍(하)주유소/충전소,전북,정읍시,1740,1728,1840,100,100,1840,
정읍주유소 천안방향,전북,정읍시,1719,1707,1822,103,100,1819,
진안 마이산(익산방향)주유소,전북,진안군,1749,1738,1849,100,100,1849,
진안 마이산(장수방향)주유소,전북,진안군,1749,1738,1849,100,100,1849,
풀무원푸드앤컬처공주상(당진)주유소,충남,공주시,1738,1728,1838,100,100,1840,2
풀무원푸드앤컬처공주하(대전)주유소,충남,공주시,1738,1728,1838,100,100,1840,2
인삼랜드(하남)주유소/충전소,충남,금산군,1719,1734,1819,100,100,1842,23
인삼랜드(하)주유소/충전소,충남,금산군,1743,1734,1843,100,100,1843,
(주)바이오시스벌곡주유소/충전소,충남,논산시,1736,1726,1836,100,100,1836,
(주)썬엘벌곡(상)주유소,충남,논산시,1736,1726,1836,100,100,1836,
부여백제(공주방향)주유소,충남,부여군,1742,1732,1842,100,100,1845,3
부여백제(서천방향)주유소,충남,부여군,1742,1732,1842,100,100,1845,3
태아산업㈜서산(서울방향)주유소/충전소,충남,서산시,1744,1734,,,,1844,
서천(서울방향)주유소,충남,서천군,1729,1719,1829,100,100,1829,
서천(목포)주유소/충전소,충남,서천군,1764,1753,1864,100,100,1864,
예산(당진방향)주유소/충전소,충남,예산군,1739,1731,1839,100,100,1839,
예산(대전방향)주유소,충남,예산군,1739,1731,1839,100,100,1839,
천안(부산)주유소,충남,천안시,1731,1724,1831,100,100,1831,
입장(상)주유소/충전소,충남,천안시,1719,1724,1819,100,100,1832,13
망향주유소 경부고속(부산방향),충남,천안시,1732,1723,1832,100,100,1832,
천안삼거리(서울방향)주유소/충전소 ㈜광동석유,충남,천안시,1734,1725,1834,100,100,1834,
한국도로공사 홍성(목포)주유소/충전소,충남,홍성군,1742,1734,1842,100,100,1842,
한국도로공사 홍성(서울)주유소/충전소,충남,홍성군,1737,1724,1837,100,100,1837,
괴산(마산)주유소/충전소,충북,괴산군,1764,1753,1864,100,100,1864,
신창에너지㈜괴산(양평)주유소,충북,괴산군,1728,1717,1828,100,100,1828,
단양팔경(춘천)주유소/충전소,충북,단양군,1749,1748,1849,100,100,1849,
단양팔경(부산)주유소/충전소,충북,단양군,1739,1729,1833,94,93,1839,6
속리산(청주)주유소충전소,충북,보은군,1723,1718,1823,100,100,1823,
신창에너지㈜황간(부산)주유소,충북,영동군,1729,1719,1829,100,100,1829,
신창에너지㈜황간(서울)주유소,충북,영동군,1729,1719,1829,100,100,1829,
금강(부산방향)주유소,충북,옥천군,1734,1723,1834,100,100,1834,
옥천(부산방향)주유소/충전소,충북,옥천군,1734,1723,1834,100,100,1834,
옥천(서울)주유소/충전소,충북,옥천군,1746,1736,1846,100,100,,
금왕(제천)주유소/충전소,충북,음성군,1736,1726,1836,100,100,1836,
금왕(평택)주유소/충전소,충북,음성군,1736,1726,1836,100,100,1836,
음성(하남)주유소,충북,음성군,1764,1753,1864,100,100,1864,
한국도로공사 음성(남이)주유/충전소,충북,음성군,1744,1734,1845,101,101,1845,
청주(서울)주유소,충북,청주시,1736,1725,1836,100,100,1836,
죽암(서울방향)주유소,충북,청주시,1739,1728,1839,100,100,1839,
