station_id,name,brand,region,sido,sigungu,addr,is_self,quality_cert,reports_price,tel,lat,lng,match,matched_addr
A0001006,㈜JS 프라임주유소,SK에너지,경기 파주시,경기,파주시,경기 파주시 교하읍 교하로 434,1,0,0,031-943-2236,,,fail,
A0002629,SK에너지㈜ 동탄셀프주유소,SK에너지,경기 화성시,경기,화성시,경기 화성시 병점구 여울로3길 21 (능동),1,0,1,031-8003-5169,,,fail,
A0002816,비원주유소,HD현대오일뱅크,경기 평택시,경기,평택시,경기 평택시 현덕면 인광4길 22-12,0,0,0,031-681-5189,,,fail,
A0003452,형제주유소,GS칼텍스,경기 광주시,경기,광주시,경기 광주시 순암로 120 (장지동),0,0,0,031-768-5189,,,fail,
A0004417,KH에너지㈜직영 대복주유소,자가상표,경기 양주시,경기,양주시,경기 양주시 부흥로 1807,1,0,1,031-856-3348,,,fail,
A0004441,호명주유소,S-OIL,경기 가평군,경기,가평군,경기 가평군 청평명 경춘로 1362,0,0,0,031-584-0551,,,fail,
A0004882,은현농협클린주유소,NH-OIL,경기 양주시,경기,양주시,경기 양주시 은현면 은현로 1148,1,1,1,031-861-2009,,,fail,
A0005108,HD현대오일뱅크㈜직영 능동셀프주유소,HD현대오일뱅크,경기 화성시,경기,화성시,경기 화성시 병점구 북삼미로 261,1,0,1,031-8003-6661,,,fail,
A0006327,덕흥주유소,HD현대오일뱅크,경기 남양주시,경기,남양주시,경기 남양주시 별내면 덕릉로 1101,0,0,0,031-527-5577,,,fail,
A0006631,(주)별넷주유소,HD현대오일뱅크,경기 남양주시,경기,남양주시,경기 남양주시 별내면 불암산로 27,1,0,0,031-527-0503,,,fail,
A0007103,대성산업(주)안산공단주유소,GS칼텍스,경기 안산시,경기,안산시,경기 안산시 단원구 산단로 313,0,0,1,031-494-5133,,,fail,
A0007130,그린주유소,S-OIL,경기 용인시,경기,용인시,경기 용인시 처인구 양지면 죽양대로2016번길 2,1,0,1,031-336-5105,,,fail,
