station_id,name,brand,region,sido,sigungu,addr,is_self,quality_cert,reports_price,tel
A0000004,㈜지에스이앤알 하안단지주유소,GS칼텍스,경기 광명시,경기,광명시,경기 광명시 오리로 608 (소하동),1,0,1,02-899-5202
A0000011,이케이에너지(주) 무산주유소,HD현대오일뱅크,서울 양천구,서울,양천구,서울 양천구 신정로 236,1,0,1,02-2690-7775
A0000012,㈜지에스이앤알 흥덕주유소,GS칼텍스,경기 용인시,경기,용인시,경기 용인시 기흥구 흥덕중앙로 92,1,0,1,031-215-8053
A0000014,㈜지에스이앤알 동일주유소,GS칼텍스,강원 인제군,강원,인제군,강원 인제군 북면 설악로 2775,0,0,1,033-462-5124
A0000015,㈜지에스이앤알 송파제일주유소,HD현대오일뱅크,서울 송파구,서울,송파구,서울 송파구 삼학사로 50 (석촌동),1,0,1,02-424-2900
A0000020,㈜하이테크산업 이천주유소,SK에너지,경기 이천시,경기,이천시,경기 이천시 설성면 서동대로 8219,1,0,0,031-641-5151
A0000027,라온주유소,S-OIL,경기 의정부시,경기,의정부시,경기 의정부시 호국로 1844,1,0,0,031-846-0003
A0000028,시온주유소,SK에너지,충남 홍성군,충남,홍성군,충남 홍성군 홍성읍 내포로 80,1,0,0,041-631-4061
A0000029,사랑리주유소,S-OIL,경기 화성시,경기,화성시,경기 화성시 만세구 장안면 사랑길 80,1,0,0,031-358-5184
A0000035,㈜지에스이앤알 평창주유소,HD현대오일뱅크,서울 종로구,서울,종로구,서울 종로구 평창문화로 135 (평창동),1,0,1,02-391-5185
A0000037,용미self주유소,HD현대오일뱅크,경기 파주시,경기,파주시,경기 파주시 광탄면 혜음로 396,1,0,0,031-942-6060
A0000041,㈜광역주유소 역곡점,GS칼텍스,경기 부천시,경기,부천시,경기도 부천시 소사구 경인로 463,1,0,1,032-343-5155
A0000045,㈜북악주유소,GS칼텍스,서울 종로구,서울,종로구,서울 종로구 평창문화로 137,1,0,0,02-395-6500
A0000050,동산주유소,알뜰주유소,경남 함양군,경남,함양군,경남 함양군 함양읍 고운로 570,0,0,1,055-964-2221
A0000051,태아산업㈜ 부여백제(서천방향)주유소,알뜰(ex),충남 부여군,충남,부여군,충남 부여군 내산면 서천공주고속도로 25,1,1,1,041-834-4600
A0000052,태아산업㈜ 부여백제(공주방향)주유소,알뜰(ex),충남 부여군,충남,부여군,충남 부여군 내산면 서천공주고속도로 26,1,1,1,041-833-8300
A0000053,풀무원푸드앤컬처공주하(대전)주유소,알뜰(ex),충남 공주시,충남,공주시,충남 공주시 당진영덕고속도로 72-1,1,1,1,041-854-9728
A0000054,풀무원푸드앤컬처공주상(당진)주유소,알뜰(ex),충남 공주시,충남,공주시,충남 공주시 의당면 당진영덕고속도로 71,1,1,1,041-854-9504
A0000056,㈜더웨이유통 진안 마이산(익산방향)주유소,알뜰(ex),전북 진안군,전북,진안군,전북 진안군 진안읍 익산장수고속도로 41-1,0,1,1,063-432-1383
A0000057,㈜더웨이유통 진안 마이산(장수방향)주유소,알뜰(ex),전북 진안군,전북,진안군,전북 진안군 진안읍 익산장수고속도로 42-1,1,1,1,063-432-6353
A0000064,안풍주유소,S-OIL,서울 종로구,서울,종로구,서울 종로구 자하문로 303,0,0,0,02-396-5151
A0000069,자하문주유소,SK에너지,서울 종로구,서울,종로구,서울 종로구 자하문로 248 (부암동),1,0,0,02-396-5252
A0000074,구도일주유소 창동,S-OIL,서울 도봉구,서울,도봉구,서울 도봉구 해등로3길 86 (창동),1,0,1,02-906-5104
A0000079,형제주유소,S-OIL,충남 서산시,충남,서산시,충남 서산시 음암면 운암로 678,0,0,0,041-664-3383
A0000081,계림주유소,GS칼텍스,경기 남양주시,경기,남양주시,경기 남양주시 별내면 송산로 400,0,0,0,031-528-2860
A0000084,강현농업협동조합(강현농협주유소),NH-OIL,강원 양양군,강원,양양군,강원 양양군 강현면 동해대로 3415,1,0,1,033-671-5815
A0000089,가은주유소,SK에너지,충남 천안시,충남,천안시,충남 천안시 서북구 성환읍 천안대로 1899,0,0,0,041-583-1228
A0000097,덕적주유소,HD현대오일뱅크,인천 옹진군,인천,옹진군,인천 옹진군 덕적면 덕적북로 66,0,0,0,032-832-3884
A0000110,목장주유소,S-OIL,경기 고양시,경기,고양시,경기 고양시 덕양구 호국로 932,1,0,1,031-967-8805
A0000120,마포주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 마포대로 186,1,0,1,02-711-5189
A0000129,SK에너지(주) 양지주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 마포대로 69 (도화동),0,0,1,02-706-8955
A0000134,구도일주유소 두꺼비,S-OIL,서울 서대문구,서울,서대문구,서울 서대문구 성산로 312,1,0,1,02-336-0611
A0000136,포천신북주유소,알뜰주유소,경기 포천시,경기,포천시,경기 포천시 호국로 2226,1,0,1,031-534-7775
A0000139,(주)타이거통상 월드컵주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 월드컵북로 170 (성산제2동),1,0,0,070-4121-0021
A0000146,마포시엠주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 월드컵북로 62,0,0,0,02-338-9447
A0000154,하늘주유소,S-OIL,경기 고양시,경기,고양시,경기 고양시 덕양구 통일로 1096,0,0,0,031-964-5188
A0000156,금오주유소,SK에너지,경기 의정부시,경기,의정부시,경기 의정부시 호국로 1582 (금오동),0,0,0,031-821-3939
A0000159,청원주유소,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 월드컵북로 113 (성산동),1,0,1,02-325-5533
A0000160,경포주유소,GS칼텍스,강원 강릉시,강원,강릉시,강원 강릉시 안현로 40 (안현동),0,0,0,033-644-5145
A0000161,염창동주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 양천로 720,0,0,0,02-3664-4134
A0000163,(주)만성상사 대흥주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 대흥로 61 (대흥동),0,0,0,02-3273-5151
A0000164,(주)안국에너지 망원동주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 월드컵로 119 (망원동),0,0,1,02-334-0917
A0000169,성산대교셀프주유소,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 성산로 144,1,0,1,02-323-0078
A0000173,에스에스오토셀프,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 서강로 76 (창전동),1,0,1,02-336-5185
A0000178,(주)미래아스팔트 신우주유소,S-OIL,서울 서대문구,서울,서대문구,서울 서대문구 가좌로 106(홍은동),1,0,1,02-304-5522
A0000180,㈜세일 구도일주유소 안양,S-OIL,경기 안양시,경기,안양시,경기 안양시 만안구 만안로 135,1,0,0,031-448-6633
A0000182,염리동주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 백범로 126 (염리동),1,0,1,02-3272-5155
A0000189,(주)서울에너지 시민주유소,HD현대오일뱅크,서울 강북구,서울,강북구,서울 강북구 인수봉로 185 (수유동),1,0,1,02-907-9496
A0000190,시선㈜ 권선지점,자가상표,경기 수원시,경기,수원시,경기 수원시 권선구 매송고색로 552,1,0,0,031-278-5180
A0000201,금정주유소,HD현대오일뱅크,경기 양주시,경기,양주시,경기 양주시 화합로 1433,0,0,0,031-858-5501
A0000206,(주)남경주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 녹사평대로 11길 24,0,0,0,02-793-2954
A0000215,마하주유소,GS칼텍스,경기 안양시,경기,안양시,경기 안양시 만안구 엘에스로 237 (안양동),1,0,1,031-444-5175
A0000216,원지셀프주유소(SK),SK에너지,경남 산청군,경남,산청군,경남 산청군 신안면 원지로 6-3,1,0,1,055-974-3333
A0000217,포일주유소,HD현대오일뱅크,경기 의왕시,경기,의왕시,경기 의왕시 안양판교로 205 (청계동),0,0,0,031-423-7288
A0000221,한석주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 이촌로 164,0,0,0,02-790-1020
A0000223,동자동주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 한강대로104길 6 (동자동),0,0,0,02-754-6667
A0000225,(주)영원 풍기주유소,GS칼텍스,서울 용산구,서울,용산구,서울 용산구 원효로 178 (원효로2가),0,0,0,02-719-2202
A0000228,에너비스,SK에너지,서울 용산구,서울,용산구,서울 용산구 한남대로 82 (한남동),0,0,0,070-8707-4572
A0000229,HD현대오일뱅크㈜직영 한남동주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 한남대로 204 (한남동),0,0,1,02-795-0802
A0000230,HD현대오일뱅크㈜직영 한강셀프주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 원효로 9,1,0,1,02-712-7124
A0000232,HD현대오일뱅크㈜직영 갈월동주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울특별시 용산구  한강대로 322 (남영동),0,0,1,02-754-5217
A0000238,한남지점,SK에너지,서울 용산구,서울,용산구,서울 용산구 한남대로21길 4 (한남동),0,0,0,070-8707-4586
A0000240,HD현대오일뱅크(주)직영 소월길주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 소월로 66 (후암동),0,0,1,02-318-3314
A0000242,스피드 이천 주유소,GS칼텍스,경기 이천시,경기,이천시,경기 이천시 마장면 중부대로 560,1,0,0,031-638-5102
A0000245,(주)신태성주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 원효로 147 (원효로3가),0,0,0,02-701-9447
A0000248,탑주유소,SK에너지,경기 수원시,경기,수원시,경기 수원시 권선구 서부로 1774,1,0,1,031-278-5182
A0000249,SK에너지㈜ 유공셀프주유소,SK에너지,대전 유성구,대전,유성구,대전 유성구 유성대로 614 (구암동),1,0,1,042-825-5153
A0000250,KH에너지㈜직영 KH테크노주유소,SK에너지,경기 부천시,경기,부천시,경기 부천시 오정구 석천로398번길 57,1,0,1,032-671-5180
A0000251,내삼주유소,S-OIL,경남 김해시,경남,김해시,경남 김해시 주촌면 서부로1499번안길 1,1,0,0,055-329-4351
A0000253,경동석유산업(주)고속철주유소,HD현대오일뱅크,경기 광명시,경기,광명시,경기 광명시 광명로 207 (가학동),1,0,1,02-2617-9767
A0000256,문암주유소,S-OIL,충북 음성군,충북,음성군,충북 음성군 원남면 충청대로 60,1,0,0,043-872-8951
A0000257,서울석유(주)이에스주유소,SK에너지,경기 평택시,경기,평택시,경기 평택시 동삭로 363,1,0,1,031-656-5115
A0000263,㈜세일 구도일주유소 박달,S-OIL,경기 안양시,경기,안양시,경기 안양시 만안구 박달로 274 (박달동),1,0,0,031-441-5153
A0000265,조랑말주유소,SK에너지,경기 포천시,경기,포천시,경기 포천시 이동면 화동로 2469,1,0,0,031-535-7834
A0000269,남사IC주유소,HD현대오일뱅크,경기 용인시,경기,용인시,경기 용인시 처인구 이동면 어진로 637,0,0,0,031-336-5145
