station_id,name,brand,region,sido,sigungu,addr,is_self,quality_cert,reports_price,tel,lat,lng,match,matched_addr
A0000004,㈜지에스이앤알 하안단지주유소,GS칼텍스,경기 광명시,경기,광명시,경기 광명시 오리로 608 (소하동),1,0,1,02-899-5202,37.4560950563639,126.880388631805,addr,경기 광명시 오리로 608
A0000011,이케이에너지(주) 무산주유소,HD현대오일뱅크,서울 양천구,서울,양천구,서울 양천구 신정로 236,1,0,1,02-2690-7775,37.5105676390045,126.847718788496,addr,서울 양천구 신정로 236
A0000012,㈜지에스이앤알 흥덕주유소,GS칼텍스,경기 용인시,경기,용인시,경기 용인시 기흥구 흥덕중앙로 92,1,0,1,031-215-8053,37.2759427581308,127.07719628197,addr,경기 용인시 기흥구 흥덕중앙로 92
A0000014,㈜지에스이앤알 동일주유소,GS칼텍스,강원 인제군,강원,인제군,강원 인제군 북면 설악로 2775,0,0,1,033-462-5124,38.1148131363991,128.202086800255,addr,강원특별자치도 인제군 북면 설악로 2775
A0000015,㈜지에스이앤알 송파제일주유소,HD현대오일뱅크,서울 송파구,서울,송파구,서울 송파구 삼학사로 50 (석촌동),1,0,1,02-424-2900,37.501693668377,127.097232908506,addr,서울 송파구 삼학사로 50
A0000020,㈜하이테크산업 이천주유소,SK에너지,경기 이천시,경기,이천시,경기 이천시 설성면 서동대로 8219,1,0,0,031-641-5151,37.1116618088534,127.551128074945,addr,경기 이천시 설성면 서동대로 8219
A0000027,라온주유소,S-OIL,경기 의정부시,경기,의정부시,경기 의정부시 호국로 1844,1,0,0,031-846-0003,37.7686597747062,127.10036742424,addr,경기 의정부시 호국로 1844
A0000028,시온주유소,SK에너지,충남 홍성군,충남,홍성군,충남 홍성군 홍성읍 내포로 80,1,0,0,041-631-4061,36.5969343087648,126.660353201455,addr,충남 홍성군 홍성읍 내포로 80
A0000029,사랑리주유소,S-OIL,경기 화성시,경기,화성시,경기 화성시 만세구 장안면 사랑길 80,1,0,0,031-358-5184,37.0782957241726,126.822247009841,addr,경기 화성시 만세구 장안면 사랑길 80
A0000035,㈜지에스이앤알 평창주유소,HD현대오일뱅크,서울 종로구,서울,종로구,서울 종로구 평창문화로 135 (평창동),1,0,1,02-391-5185,37.609738479959,126.974559174167,addr,서울 종로구 평창문화로 135
A0000037,용미self주유소,HD현대오일뱅크,경기 파주시,경기,파주시,경기 파주시 광탄면 혜음로 396,1,0,0,031-942-6060,37.7315054435848,126.88949917187,addr,경기 파주시 광탄면 혜음로 396
A0000041,㈜광역주유소 역곡점,GS칼텍스,경기 부천시,경기,부천시,경기도 부천시 소사구 경인로 463,1,0,1,032-343-5155,37.4826698151927,126.80725148203,addr,경기 부천시 소사구 경인로 463
A0000045,㈜북악주유소,GS칼텍스,서울 종로구,서울,종로구,서울 종로구 평창문화로 137,1,0,0,02-395-6500,37.6098529710689,126.974864699167,addr,서울 종로구 평창문화로 137
