주유소,시도,시군구,휘발유,경유,연휴전(9/23),내린폭
강릉(강릉방향)주유소/충전소,강원,강릉시,1734,1723,1839,105
강릉(인천방향)주유소/충전소,강원,강릉시,1734,1723,1839,105
구정(삼척방향)주유소,강원,강릉시,1744,1731,1844,100
구정(속초)주유소,강원,강릉시,1744,1733,1844,100
옥계(속초) 주유소/충전소,강원,강릉시,1729,1719,1829,100
동해(삼척)주유소,강원,동해시,1745,1735,1845,100
원주(춘천)주유소,강원,원주시,1745,1735,1845,100
치악(부산방향)주유소/충전소,강원,원주시,1744,1731,1844,100
치악(춘천방향)주유소/충전소,강원,원주시,1744,1731,1844,100
원주(부산)주유소/충전소,강원,원주시,1764,1753,1864,100
문막(강릉)주유소/충전소,강원,원주시,1746,1736,1846,100
문막(인천방향)주유소,강원,원주시,1735,1725,1835,100
내린천(서울방향)주유소/충전소,강원,인제군,1738,1728,1838,100
내린천(양양방향)주유소/충전소,강원,인제군,1738,1728,1838,100
춘천(하)주유소/충전소,강원,춘천시,1734,1734,1834,100
강릉방향,강원,평창군,1739,1729,1845,106
서창방향,강원,평창군,1739,1729,1845,106
홍천강(춘천방향)주유소/충전소,강원,홍천군,1735,1725,1840,105
홍천양양주유소/충전소,강원,홍천군,1738,1728,1838,100
키다리식품(주)홍천서울주유소/충전소,강원,홍천군,1738,1728,1838,100
횡성(인천)지점,강원,횡성군,1740,1730,1840,100
횡성(하)주유소/충전소,강원,횡성군,1738,1728,1838,100
구리(일산방향)주유소,경기,구리시,1764,1753,1864,100
구리(판교방향)주유소,경기,구리시,1764,1753,1864,100
성남(구리방향)주유소,경기,성남시,1764,1753,1864,100
안성맞춤(평택)주유소/충전소,경기,안성시,1744,1733,1844,100
YM21유통㈜안성맞춤(제천)주유소,경기,안성시,1733,1723,1833,100
고삼(세종)주유소,경기,안성시,1749,1744,1849,100
고삼(포천)주유소,경기,안성시,1749,1744,1849,100
안성(서울)주유소/충전소,경기,안성시,1764,1753,1864,100
한국도로공사 안성(부산방향)주유소/충전소,경기,안성시,1738,1735,1838,100
남한강(창원)주유소,경기,양평군,1739,1728,1839,100
남한강(포천)주유소,경기,양평군,1739,1728,1839,100
신창에너지㈜여주(강릉)주유소,경기,여주시,1729,1719,1829,100
여주(인천방향)주유소/충전소,경기,여주시,1738,1728,1838,100
서여주(양평)주유소,경기,여주시,1739,1728,1839,100
서여주(창원)주유소,경기,여주시,1739,1728,1839,100
처인(세종방향)주유소,경기,용인시,1749,1744,1849,100
처인(포천방향)주유소,경기,용인시,1749,1744,1849,100
기흥(부산)주유소/충전소,경기,용인시,1739,1736,1839,100
용인(강릉방향)주유소/충전소,경기,용인시,1734,1724,1834,100
용인(인천방향)주유소/충전소,경기,용인시,1734,1724,1834,100
죽전(서울)주유소,경기,용인시,1742,1736,1842,100
대보건설㈜이천(하남)주유소/충전소,경기,이천시,1764,1753,1864,100
이천(하)주유소/충전소,경기,이천시,1735,1717,1835,100
한국도로공사 하남드림주유소/충전소,경기,하남시,1748,1738,1848,100
화성(상)주유소/충전소,경기,화성시,1764,1753,1864,100
대보유통㈜화성(하)목포방향,경기,화성시,1764,1753,1864,100
매송주유소(목포방향),경기,화성시,1764,1753,1864,100
매송주유소(서울방향),경기,화성시,1764,1753,1864,100
대한민국재향군인회 거창(광주)주유소/충전소,경남,거창군,1743,1736,1843,100
대한민국재향군인회 거창(대구)주유소,경남,거창군,1743,1736,1843,100
안국산업㈜고성공룡나라(대전)주유소,경남,고성군,1740,1726,1840,100
안국산업㈜고성공룡나라(통영)주유소,경남,고성군,1740,1726,1840,100
진영(순천방향)주유소,경남,김해시,1748,1738,1848,100
김해금관가야(기장방향)주유소,경남,김해시,1738,1728,1838,100
김해금관가야(창원방향)주유소,경남,김해시,1738,1728,1838,100
장유(부산방향)주유소,경남,김해시,1742,1732,1842,100
밀양(울산방향)주유소,경남,밀양시,1742,1735,1848,106
밀양(함양방향)주유소,경남,밀양시,1742,1735,1848,106
YM21유통 사천(상)주유소/충전소,경남,사천시,1744,1733,1844,100
YM21유통 사천(하)주유소/충전소,경남,사천시,1744,1733,1844,100
산청(대전방향)주유소/충전소,경남,산청군,1744,1734,1844,100
산청(통영방향)주유소/충전소,경남,산청군,1739,1729,1839,100
통도사(부산)주유소,경남,양산시,1764,1753,1864,100
양산(서울방향)주유소,경남,양산시,1739,1730,1839,100
진주(부산)주유소/충전소,경남,진주시,1743,1733,1843,100
문산(순천)주유소,경남,진주시,1734,1729,1834,100
영산(하)주유소/충전소,경남,창녕군,1747,1736,1847,100
함안(부산방향)주유소/충전소,경남,함안군,1748,1735,1848,100
칠서(양평)주유소/충전소,경남,함안군,1739,1728,1839,100
대보건설(주)함안(순천)주유소/충전소,경남,함안군,1764,1753,1864,100
함양(통영)주유소,경남,함양군,1738,1728,1868,130
평사주유소,경북,경산시,1745,1736,1845,100
경산(서울방향)주유소/충전,경북,경산시,1734,1723,1842,108
와촌(포항)주유소/충전소,경북,경산시,1764,1753,1864,100
건천(상)주유소,경북,경주시,1748,1738,1848,100
건천(부산)주유소,경북,경주시,1742,1731,1842,100
외동(상)주유소,경북,경주시,1738,1728,1838,100
외동(하)주유소,경북,경주시,1738,1728,1838,100
경주(부산)주유소/충전소,경북,경주시,1743,1733,1843,100
선산(양평방향)주유소,경북,구미시,1745,1733,1845,100
선산(창원방향)주유소,경북,구미시,1745,1733,1845,100
김천(부산방향)주유소,경북,김천시,1742,1738,1842,100
김천(서울방향)주유소,경북,김천시,1742,1738,1842,100
추풍령(서울)주유소충전소,경북,김천시,1724,1724,1824,100
추풍령(부산)주유소충전소,경북,김천시,1724,1724,1824,100
(주)서원문경(하)주유소/충전소,경북,문경시,1744,1733,1844,100
한국도로공사 문경(양평방향)주유소/충전소,경북,문경시,1734,1723,1834,100
안국산업㈜화서(영덕)주유소,경북,상주시,1740,1724,1840,100
남성주참외(양평방향)주유소,경북,성주군,1747,1738,1847,100
남성주참외(창원방향)주유소,경북,성주군,1747,1738,1847,100
성주(양평방향)주유소,경북,성주군,1735,1724,1835,100
성주(창원방향)주유소,경북,성주군,1735,1724,1835,100
안동(부산방향)주유소/충전소,경북,안동시,1749,1748,1849,100
영덕(상)주유소,경북,영덕군,1734,1734,1834,100
청통(대구)주유소/충전소,경북,영천시,1764,1753,1864,100
씨앤에스에너지(주)영천(포항방향)주유소,경북,영천시,1747,1737,1847,100
씨앤에스에너지㈜영천(대구방향)주유소/충전소,경북,영천시,1747,1737,1847,100
의성(영덕)주유소/충전소,경북,의성군,1849,1848,1849,0
의성(청주)주유소/충전소,경북,의성군,1749,1748,1849,100
청송(상주)주유소,경북,청송군,1748,1747,1848,100
청송(영덕)주유소,경북,청송군,1748,1747,1848,100
동명(부산)주유소/충전소,경북,칠곡군,1745,1735,1845,100
동명(춘천)주유소/충전소,경북,칠곡군,1745,1735,1845,100
㈜에스엔디유통(칠곡-서울)주유소/충전소,경북,칠곡군,1742,1738,1842,100
칠곡(부산)주유소/충전소,경북,칠곡군,1745,1735,1845,100
포항(하)주유소,경북,포항시,1734,1734,,
군위(부산)주유소/충전소,대구,군위군,1746,1736,1846,100
군위(춘천)주유소/충전소,대구,군위군,1746,1736,1846,100
논공(광주)주유소,대구,달성군,1745,1736,1845,100
논공(대구)주유소,대구,달성군,1745,1736,1845,100
현풍(대구)주유소/충전소,대구,달성군,1745,1736,1845,100
현풍(하)주유소,대구,달성군,1745,1739,1845,100
신탄진(서울)주유소/충전소,대전,대덕구,1739,1728,1839,100
만남의광장주유소,서울,서초구,1764,1753,1864,100
울주(울산방향)주유소,울산,울주군,1734,1723,1842,108
울주(함양방향)주유소,울산,울주군,1734,1723,1842,108
언양(서울)주유소/충전소,울산,울주군,1878,1738,1978,100
곡성(순천)주유소,전남광주,곡성군,1729,1721,1859,130
곡성(천안)주유소충전소,전남광주,곡성군,1740,1726,1840,100
YM21유통㈜섬진강(부산방향)주유소,전남광주,광양시,1739,1728,1839,100
대보건설(주)보성(목포)주유소/충전소,전남광주,보성군,1764,1753,1864,100
대보건설(주)보성녹차(광양)주유소/충전소,전남광주,보성군,1764,1753,1864,100
황전(순천)주유소,전남광주,순천시,1745,1735,1852,107
황전(완주)주유소/충전소,전남광주,순천시,1734,1728,1834,100
주암(순천)주유소,전남광주,순천시,1739,1721,1849,110
주암(천안)주유소,전남광주,순천시,1744,1728,1848,104
백양사(순천)주유소/충전소,전남광주,장성군,1745,1735,1845,100
한국도로공사 백양사(논산)주유소/충전소,전남광주,장성군,1735,1725,1835,100
장흥 정남진주유소,전남광주,장흥군,1745,1735,1859,114
대보디앤에스(주)함평나비(광주)주유소,전남광주,함평군,1764,1753,1864,100
대보디앤에스㈜함평나비(무안)주유소/충전소,전남광주,함평군,1764,1753,1864,100
함평천지(서울)주유소/충전소,전남광주,함평군,1734,1723,1834,100
태경산업(주)함평무안주유소,전남광주,함평군,1746,1738,1846,100
고창고인돌(목포)주유소,전북,고창군,1764,1753,1864,100
고창고인돌(서울)주유소,전북,고창군,1764,1753,1864,100
군산(서울)충전소주유소,전북,군산시,1736,1718,1836,100
군산무안주유소/충전소,전북,군산시,1746,1738,1846,100
